,Start Actor,Start Actor URL,End Actor,End Actor URL,Distance
45,Sofia_Vergara,https://www.imdb.com/name/nm0005527,Rober_Downey_Jr,https://www.imdb.com/name/nm0000375,1
46,Rober_Downey_Jr,https://www.imdb.com/name/nm0000375,Chris_Evans,https://www.imdb.com/name/nm0262635,1
47,Chris_Evans,https://www.imdb.com/name/nm0262635,Rober_Downey_Jr,https://www.imdb.com/name/nm0000375,1
48,Akshay_Kumar,https://www.imdb.com/name/nm0474774,Jackie_Chan,https://www.imdb.com/name/nm0000329,2
49,Jackie_Chan,https://www.imdb.com/name/nm0000329,Akshay_Kumar,https://www.imdb.com/name/nm0474774,2
50,Akshay_Kumar,https://www.imdb.com/name/nm0474774,Bradley_Cooper,https://www.imdb.com/name/nm0177896,2
51,Bradley_Cooper,https://www.imdb.com/name/nm0177896,Akshay_Kumar,https://www.imdb.com/name/nm0474774,2
52,Akshay_Kumar,https://www.imdb.com/name/nm0474774,Adam_Sandler,https://www.imdb.com/name/nm0001191,2
53,Adam_Sandler,https://www.imdb.com/name/nm0001191,Akshay_Kumar,https://www.imdb.com/name/nm0474774,2
54,Akshay_Kumar,https://www.imdb.com/name/nm0474774,Scarlett_Johansson,https://www.imdb.com/name/nm0424060,2
55,Scarlett_Johansson,https://www.imdb.com/name/nm0424060,Akshay_Kumar,https://www.imdb.com/name/nm0474774,2
56,Akshay_Kumar,https://www.imdb.com/name/nm0474774,Sofia_Vergara,https://www.imdb.com/name/nm0005527,2
57,Sofia_Vergara,https://www.imdb.com/name/nm0005527,Akshay_Kumar,https://www.imdb.com/name/nm0474774,2
58,Akshay_Kumar,https://www.imdb.com/name/nm0474774,Chris_Evans,https://www.imdb.com/name/nm0262635,2
59,Chris_Evans,https://www.imdb.com/name/nm0262635,Akshay_Kumar,https://www.imdb.com/name/nm0474774,2
60,Jackie_Chan,https://www.imdb.com/name/nm0000329,Bradley_Cooper,https://www.imdb.com/name/nm0177896,2
61,Bradley_Cooper,https://www.imdb.com/name/nm0177896,Jackie_Chan,https://www.imdb.com/name/nm0000329,2
62,Jackie_Chan,https://www.imdb.com/name/nm0000329,Adam_Sandler,https://www.imdb.com/name/nm0001191,2
63,Adam_Sandler,https://www.imdb.com/name/nm0001191,Jackie_Chan,https://www.imdb.com/name/nm0000329,2
64,Jackie_Chan,https://www.imdb.com/name/nm0000329,Scarlett_Johansson,https://www.imdb.com/name/nm0424060,2
65,Scarlett_Johansson,https://www.imdb.com/name/nm0424060,Jackie_Chan,https://www.imdb.com/name/nm0000329,2
66,Jackie_Chan,https://www.imdb.com/name/nm0000329,Sofia_Vergara,https://www.imdb.com/name/nm0005527,2
67,Sofia_Vergara,https://www.imdb.com/name/nm0005527,Jackie_Chan,https://www.imdb.com/name/nm0000329,2
68,Jackie_Chan,https://www.imdb.com/name/nm0000329,Chris_Evans,https://www.imdb.com/name/nm0262635,2
69,Chris_Evans,https://www.imdb.com/name/nm0262635,Jackie_Chan,https://www.imdb.com/name/nm0000329,2
